,wikidata_id,wikiart_id
105,Q61520711,joan-miro/painting-head-1927
106,Q19005731,anne-vallayer-coster/still-life-with-tuft-of-marine-plants-shells-and-corals-1769
107,Q123706329,amedeo-modigliani/portrait-of-pinchus-kremenge-1916
108,Q196001,salvador-dali/the-enigma-of-my-desire-or-my-mother-my-mother-my-mother-1929
109,Q60472224,henri-matisse/the-windshield-1917-0
110,Q18748402,bartolomeo-passerotti/portrait-of-pope-pius-v-1566
111,Q17493601,emile-bernard/breton-women-with-parasols-1892
112,Q180632,titian/portrait-of-pope-paul-iii-cardinal-alessandro-farnese-and-duke-ottavio-farnese-1546
113,Q47498725,jacob-jordaens/bagpiper-1644
114,Q18915957,francisco-goya/woman-with-a-fan
115,Q19912798,henri-rousseau/landscape-on-the-banks-of-the-bievre-at-becetre-1909
116,Q60324672,henri-matisse/french-window-at-collioure
117,Q119175651,henri-matisse/teacher-at-the-yellow-table-1944
118,Q114053439,max-beckmann/odysseus-and-calypso-1943
119,Q43281370,frida-kahlo/frieda-and-diego-rivera-1931
120,Q3701418,artemisia-gentileschi/danae-1612
121,Q3698207,marc-chagall/white-crucifixion-1938
122,Q89373106,henri-matisse/the-venetian-1922
123,Q78686187,henri-matisse/dancer-in-repose-1940
124,Q115557906,karel-skreta/portrait-of-ignac-jetrich-vitanovsky-of-vlckovice-1669
125,Q1943810,marc-chagall/homage-to-apollinaire-1912
126,Q29021053,artemisia-gentileschi/judith-and-her-maidservant-with-the-head-of-holofernes-tapestry-1650
127,Q117348200,philip-de-laszlo/portrait-of-ignaz-wechselmann-1894
128,Q62568869,marc-chagall/flayed-ox-1947
129,Q29855485,pierre-narcisse-guerin/not-detected-278720
130,Q21427473,balthus/katia-reading-1974
131,Q117832154,philip-de-laszlo/crown-princess-cecilie-of-prussia-1906
132,Q16670777,giorgio-de-chirico/portrait-of-guillaume-apollinaire-1914
133,Q3399446,henri-rousseau/portrait-of-pierre-loti
134,Q2568873,hugo-van-der-goes/diptych-of-the-fall-of-man-and-the-redemption-lamentation-of-christ
135,Q117217878,henri-matisse/portrait-de-george-besson-1918
136,Q9169712,hans-memling/bathsheba-in-the-bath-1480
137,Q30072602,rene-magritte/the-interpretation-of-dreams-1927
138,Q131449480,tarsila-do-amaral/the-moon-1928
139,Q10720090,salvador-dali/the-enigma-of-william-tell
140,Q75401507,august-macke/turkish-cafe-ii
141,Q61910937,max-ernst/the-entire-city-1935
142,Q3546916,salvador-dali/raphaelesque-head-exploding
143,Q52159818,nicholas-roerich/messenger-clan-revolted-against-to-clan-1897
144,Q7232252,sebastiano-del-piombo/portrait-of-andrea-doria-1526
145,Q3661648,amedeo-modigliani/cypress-trees-and-house-1919
146,Q74421653,henri-matisse/seated-woman-back-turned-to-the-open-window-1922
147,Q3877556,amedeo-modigliani/sleeping-nude-with-arms-open-red-nude-1917-1
148,Q4247398,kuzma-petrov-vodkin/bathing-the-red-horse-1912
149,Q111659725,lavinia-fontana/bianca-degli-utili-maselli-holding-a-dog-and-surrounded-by-six-of-her-children
150,Q97689823,paul-gauguin/the-fisherwomen-of-tahiti-1891
151,Q26164546,berthe-morisot/eugene-manet-on-the-isle-of-wight
152,Q3630728,amedeo-modigliani/self-portrait-1919
153,Q3784247,titian/the-beauty-1536
154,Q61561474,joan-miro/blue-ii
155,Q3952722,piero-di-cosimo/the-discovery-of-honey-by-bacchus-1505
156,Q17493115,maurice-denis/paradise
157,Q19925230,william-adolphe-bouguereau/priestess-1902
158,Q17491852,paul-serusier/the-flowered-barrier-1889
159,Q2509326,salvador-dali/slave-market-with-the-disappearing-bust-of-voltaire-1940
160,Q3139782,caspar-david-friedrich/man-and-woman
161,Q1016012,edgar-degas/comte-le-pic-and-his-sons
162,Q7712224,pablo-picasso/the-piano-accordionist-1911
163,Q19984441,paul-gauguin/nativity-1896
164,Q60519864,georges-braque/cafe-bar-1919
165,Q85225074,berthe-morisot/young-woman-watering-a-shrub
166,Q64787786,ernst-ludwig-kirchner/female-nude-with-black-hat-1
167,Q134884820,sonia-delaunay/electric-prisms-1
168,Q3745698,henri-matisse/open-window-collioure-1905
169,Q123671285,titian/the-resurrection-1544
170,Q18709506,wassily-kandinsky/grungasse-in-murnau-1909
171,Q117214047,frantisek-kupka/the-gallien-girl-1910
172,Q54901812,august-macke/catedral-of-freiburg-in-the-switzerland
173,Q132717026,paul-serusier/louise-the-breton-servant-1890
174,Q61653017,andre-derain/westminster-1905
175,Q19883656,roger-de-la-fresnaye/la-conquete-de-lair-1913
176,Q2790648,salvador-dali/dali-nude-in-contemplation-before-the-five-regular-bodies
177,Q7190121,henri-matisse/the-piano-lesson-1916
178,Q3685122,albrecht-durer/lamentation-of-christ
179,Q26713812,francesco-hayez/back-view-of-a-bather-1859
180,Q20174743,piero-di-cosimo/allegory-1500
181,Q884782,caspar-david-friedrich/wc-cross-in-the-mountains-tetschen-altar-1808-1808-new-masters-gallery-dresden-height0-115-cm
182,Q3622785,pablo-picasso/barselona-harlequin-1917
183,Q50933647,piero-di-cosimo/crucifixion-of-christ
184,Q117942627,francis-gruber/l-hommage-callot-1942
185,Q9019086,salvador-dali/salvador-dali-in-the-act-of-painting-gala-in-the-apotheosis-of-the-dollar
186,Q119033975,thomas-lawrence/george-iv-1820
187,Q19912313,henri-rousseau/the-repast-of-the-lion-1907
188,Q3828038,jackson-pollock/number-1-lavender-mist-1950-1
189,Q29019486,artemisia-gentileschi/the-saints-proculus-and-nicaea
190,Q80112683,berthe-morisot/in-a-park
191,Q125216549,rene-magritte/wreackage-of-the-shadow-1926
192,Q72554025,jacob-jordaens/five-studies-of-cows-1624
193,Q7755915,henri-matisse/the-painter-and-his-model-1917
194,Q20807929,sir-lawrence-alma-tadema/a-reading-from-homer-1885
195,Q27064318,jacob-jordaens/christ-driving-the-merchants-from-the-temple
196,Q3929311,amedeo-modigliani/young-girl-in-beret-1918
197,Q3937493,amedeo-modigliani/portrait-of-celso-lagar-1915
198,Q481454,edouard-manet/the-conservatory-1879
199,Q107291429,georges-de-la-tour/st-john-the-baptist-in-the-desert-1651
200,Q131564536,giuseppe-de-nittis/lunch-at-posillipo-1879
201,Q17353205,gustave-courbet/the-source-bather-at-the-source-1868
202,Q123338551,emile-bernard/breton-women-in-the-meadow-1888
203,Q18709540,wassily-kandinsky/murnau-with-rainbow-1909
204,Q19921297,lyonel-feininger/gelmeroda-1936
205,Q121278208,henri-matisse/odalisque-couchee-aux-magnolias-1923
206,Q3793357,jacob-van-ruisdael/bentheim-castle-1653
207,Q137434072,otto-dix/trench-warfare
208,Q1545495,caspar-david-friedrich/wc-bateaux-dans-le-port-de-greifswald-before-1810-1810-alte-nationalgalerie-90-70-cm-35-4-27-6
209,Q19883993,joan-miro/dutch-interior-i
210,Q118591970,luke-fildes/self-portrait-sir-samuel-luke-fildes-ra-1843-1927-1911
211,Q5793788,paul-gauguin/barbarous-tales-1902
212,Q64788159,ferdinand-hodler/portrait-of-helene-weigle
213,Q20275971,georges-braque/harbor-in-normandy-1909
214,Q58443545,arkhip-kuindzhi/moonlight-night-on-the-dnieper-1880
215,Q1437492,henri-matisse/woman-with-hat-1905
216,Q118230941,lovis-corinth/large-still-life-with-figure-1911
217,Q3967207,luca-giordano/marriage-of-the-virgin-1688
